31 0  69.4954 18
1047 3.2448  839.041 18
1048 -3.25248  839.068 18
1049 2.72695  841.454 18
1050 2.40595  852.639 18
1051 -3.01298  836.696 18
1052 2.8369  858.201 18
1053 -3.66949  855.107 18
1054 3.4198  853.225 18
1055 2.67194  854.606 18
1056 3.06894  852.991 18
1057 -3.34769  846.778 18
1058 -4.44413  841.413 18
1059 -3.56754  849.843 18
1060 4.28517  852 18
1061 3.21436  859.669 18
1062 -3.00962  859.898 18
1063 -3.16971  851.058 18
1064 -3.04717  861.175 18
1065 2.74973  864.237 18
1066 -2.98168  867.629 18
1067 3.17106  877.074 18
1068 -2.75798  887.229 18
1069 -3.55874  882.714 18
1070 -2.87455  888.565 18
1071 -2.60557  886.969 18
1072 -2.9634  892.694 18
1073 -2.68446  898.901 18
1074 2.85895  901.941 18
1075 -2.39787  901.961 18
1076 2.52906  906.995 18
1077 3.09528  892.594 18
1078 2.63818  888.865 18
1079 -2.71688  893.457 18
1080 3.0694  878.99 18
1081 2.96652  875.22 18
1082 -4.58669  870.187 18
1083 2.92918  876.919 18
1084 2.6029  887.999 18
1085 3.13054  912.589 18
1086 -2.33463  908.261 18
1087 2.4106  907.78 18
1088 2.79197  902.987 18
1089 -2.48823  912.596 18
1090 -3.0975  913.744 18
1091 -2.53271  903.585 18
1092 2.51526  905.307 18
1093 2.60297  911.621 18
1094 2.59305  912.239 18
1095 -2.74874  907.884 18
1096 -2.8478  907.003 18
1097 3.2698  907.069 18
1098 -3.37352  906.588 18
1099 2.49562  898.151 18
1100 -2.69864  900.271 18
1101 2.38492  910.424 18
1102 2.75705  909.907 18
1103 -2.75715  927.531 18
1104 -2.36998  926.749 18
1105 -2.5879  949.435 18
1106 -2.6429  950.293 18
1107 -2.83874  953.363 18
1108 -2.94493  954.607 18
1109 -2.50269  958.271 18
1110 2.91307  950.001 18
1111 -3.39039  943.824 18
1112 3.11339  938.704 18
1113 3.02955  917.012 18
1114 3.17017  914.31 18
1115 -3.29202  926.556 18
1116 2.44022  934.714 18
1117 -2.88371  926.289 18
1118 2.93444  929.19 18
1119 -2.78311  925.453 18
1120 -2.91185  921.091 18
1121 2.46161  924.468 18
1122 -2.44088  927.913 18
1123 -2.87671  938.275 18
1124 2.46041  938.096 18
1125 2.36424  931.723 18
1126 2.24681  938.218 18
1127 2.82576  957.84 18
1128 -2.6958  970.812 18
1129 -3.45812  970.199 18
1130 3.11628  980.194 18
1131 -2.73784  990.628 18
1132 3.26208  1007.97 18
1133 -2.67481  1016.63 18
1134 -3.04889  1016.44 18
1135 2.70739  1012.17 18
1136 -3.37086  1026.61 18
1137 2.81287  1036.68 18
1138 -2.77854  1032.47 18
1139 2.96976  1035.28 18
1140 3.44109  1031.73 18
1141 2.82877  1043.15 18
1142 -2.20686  1048.49 18
1143 2.89596  1042.99 18
1144 -2.61802  1041.37 18
1145 2.77868  1038.56 18
1146 -2.86716  1005.17 18
1147 2.67835  1006.69 18
1148 -3.23031  1001.66 18
1149 3.50532  1005.32 18
1150 2.55442  997.303 18
1151 -2.87924  979.958 18
1152 -3.07341  990.063 18
1153 -2.90264  992.503 18
1154 3.2683  987.568 18
1155 2.68535  987.103 18
1156 3.7922  983.172 18
1157 2.97869  998.857 18
1158 -4.20329  997.2 18
1159 -3.07947  989.086 18
1160 2.55498  996.267 18
1161 -2.9385  1002.61 18
1162 3.65091  1005.32 18
1163 -2.93401  1010.53 18
1164 -3.06737  994.386 18
1165 3.35416  1007.6 18
1166 2.56333  988.827 18
1167 3.64153  977.219 18
1168 -3.87846  978.341 18
1169 -3.10022  988.23 18
1170 3.23876  1000.88 18
1171 -2.90673  1015.52 18
1172 -2.30614  1031.38 18
1173 3.16685  1040.56 18
1174 -2.39636  1048.5 18
1175 2.09584  1049.91 18
1176 -2.69047  1042.05 18
1177 2.44574  1062.37 18
1178 -2.98389  1083.52 18
1179 -2.41769  1090.51 18
1180 -2.73098  1119.46 18
1181 2.51551  1122.76 18
1182 -2.579  1127.21 18
1183 -2.75323  1125.96 18
1184 3.08847  1117.22 18
1185 -3.3676  1125.51 18
1186 2.65665  1137.1 18
1187 -3.01548  1164.56 18
1188 3.36592  1146.82 18
1189 -2.42394  1156.9 18
1190 3.01424  1149.26 18
1191 3.09244  1146.57 18
1192 -3.66308  1135.88 18
1193 -3.4173  1137.64 18
1194 3.63956  1131.75 18
1195 2.70005  1142.22 18
1196 -3.70059  1140.19 18
1197 2.97076  1143.08 18
1198 -3.76832  1123.41 18
1199 3.39502  1137.46 18
1200 3.00032  1152.5 18
1201 -3.93835  1143.98 18
1202 2.85171  1142.07 18
1203 3.64676  1152.25 18
1204 -3.96017  1140.77 18
1205 4.12146  1146.62 18
1206 -3.28754  1156.67 18
1207 -3.09185  1159.05 18
1208 4.02036  1163.65 18
1209 2.64393  1179.43 18
1210 -3.93136  1168.04 18
1211 3.1778  1178.94 18
1212 2.72519  1192.05 18
1213 2.87904  1177.13 18
1214 2.60379  1169.83 18
1215 3.6286  1171.55 18
1216 -3.34825  1173.91 18
1217 -3.67165  1191.44 18
1218 3.86615  1180.63 18
1219 3.61879  1178.74 18
1220 -3.32574  1179.31 18
1221 2.81313  1177.68 18
1222 3.36985  1167.9 18
1223 2.74923  1168.86 18
1224 -3.23563  1166.33 18
1225 -2.99962  1162.41 18
1226 -2.84645  1161.83 18
1227 2.8527  1168.56 18
1228 3.31831  1173.5 18
1229 3.92222  1158.29 18
1230 -3.48093  1170.44 18
1231 -3.2059  1161.48 18
1232 -2.78249  1155.17 18
1233 2.58456  1162.41 18
1234 2.71089  1140.92 18
1235 3.71678  1131.19 18
1236 -2.90066  1143.1 18
1237 2.93525  1140.73 18
1238 -2.84136  1129.91 18
1239 3.03529  1103.86 18
1240 -2.51757  1105.69 18
1241 -3.03501  1079.86 18
1242 4.16305  1072.96 18
1243 2.26159  1073.99 18
1244 -2.67993  1067.93 18
1245 -2.78158  1071.56 18
1246 2.68371  1069.88 18
1247 2.82604  1065.67 18
1248 2.53536  1017.87 18
1249 -2.64976  1014.49 18
1250 2.3103  999.28 18
1251 2.9357  1004.82 18
1252 -2.68508  1011.98 18
1253 3.13329  997.962 18
1254 2.30039  997.713 18
1255 -2.75194  989.532 18
1256 2.85719  977.601 18
1257 3.67102  968.221 18
1258 -3.72043  965.556 18
1259 2.39502  982.554 18
1260 -3.90056  971.757 18
1261 2.69559  959.541 18
1262 2.1994  962.592 18
1263 -2.84824  959.744 18
1264 2.45703  945.343 18
1265 2.59947  962.075 18
1266 -2.46744  972.1 18
1267 2.32811  977.56 18
1268 2.87156  977.97 18
1269 -3.00099  971.082 18
1270 -3.13428  964.238 18
1271 2.88222  963.039 18
1272 3.3674  965.619 18
1273 -3.41309  958.116 18
1274 3.10485  961.243 18
1275 -3.00349  958.528 18
1276 3.9311  946.688 18
1277 -3.10865  958.538 18
1278 -2.8974  949.266 18
1279 2.68304  953.67 18
1280 3.55521  935.499 18
1281 -3.84119  936.968 18
1282 2.44918  953.282 18
1283 2.63475  946.642 18
1284 -2.93689  945.926 18
1285 2.89551  958.8 18
1286 2.72777  967.37 18
1287 -2.87714  958.865 18
1288 2.48271  965.529 18
1289 -2.52867  964.051 18
1290 -2.55428  970.019 18
1291 2.81123  955.689 18
1292 -3.52231  959.652 18
1293 2.65929  959.288 18
1294 -2.26481  947.97 18
1295 3.33563  1001.78 18
1296 -3.16193  1009.28 18
1297 3.95239  998.687 18
1298 2.6726  1013.49 18
1299 -3.43756  1002.69 18
1300 -2.73845  1003.21 18
1301 -3.50192  992 18
1302 -3.08359  989.495 18
1303 3.03497  993.497 18
1304 -3.48414  991.835 18
1305 -2.99064  1001.81 18
1306 2.6796  1031.05 18
1307 -2.90213  1039.82 18
1308 3.12855  1044.31 18
1309 3.51731  1056.97 18
1310 -2.76049  1062.27 18
1311 -2.46241  1080.41 18
1312 -2.64119  1073.65 18
1313 3.23584  1062.48 18
1314 -3.10324  1072.34 18
1315 3.04716  1066.11 18
1316 3.76223  1067.58 18
1317 2.79652  1096.54 18
1318 -3.83642  1107.15 18
1319 -3.36262  1116.95 18
1320 4.10349  1115.47 18
1321 -2.99999  1128.19 18
1322 3.68494  1133.24 18
1323 -3.50303  1124.07 18
1324 3.13336  1121.92 18
1325 3.81869  1119.45 18
1326 -3.42611  1132.3 18
1327 3.93627  1127.14 18
1328 -3.66645  1155.62 18
1329 3.11322  1158.39 18
1330 -3.30427  1157.17 18
1331 3.0716  1170.69 18
1332 2.86307  1199.8 18
1333 -2.29778  1199.42 18
1334 2.77081  1207.96 18
1335 -2.69363  1238.91 18
1336 -3.11203  1243.64 18
1337 -2.71281  1255.94 18
1338 3.05725  1291.93 18
1339 -3.19386  1292.31 18
1340 3.38615  1303.74 18
1341 -2.88242  1307.51 18
1342 -2.57465  1340.35 18
1343 -3.32372  1329.2 18
1344 -2.63425  1345.32 18
1345 -3.29968  1342.61 18
1346 2.70463  1340.18 18
1347 -3.25563  1320.44 18
1348 4.68526  1338.09 18
1349 -3.45968  1364.06 18
1350 -2.74672  1366.08 18
1351 -3.16312  1367.81 18
1352 -2.38707  1375.07 18
1353 3.36291  1372.82 18
1354 -2.70252  1380.21 18
1355 3.46283  1373.42 18
1356 3.44175  1311.39 18
1357 -4.03328  1304.55 18
1358 -3.73027  1297.36 18
1359 4.42279  1296.61 18
1360 -3.53208  1320.14 18
1361 3.07576  1332.57 18
1362 -3.01277  1336.07 18
1363 3.10556  1338.99 18
1364 3.62006  1342.95 18
1365 3.66062  1346.18 18
1366 -3.33018  1349.37 18
1367 -3.27282  1330.65 18
1368 3.1621  1325.87 18
1369 -3.03438  1319.28 18
1370 3.27969  1313.36 18
1371 -2.67041  1311.06 18
1372 2.73293  1307.72 18
1373 3.16613  1312.71 18
1374 3.32151  1314.38 18
1375 -2.84709  1326.49 18
1376 2.86737  1333.43 18
1377 -3.26575  1333.6 18
1378 2.58956  1329.1 18
1379 2.72339  1307.94 18
1380 3.16413  1314.04 18
1381 -2.81243  1312.42 18
1382 2.39516  1315.48 18
1383 -3.05475  1304.76 18
1384 2.69197  1320.07 18
1385 -2.94755  1318.89 18
1386 -2.74394  1330.43 18
1387 2.88592  1308.64 18
1388 -2.96443  1300.99 18
1389 -3.51436  1279.91 18
1390 -3.14274  1267.62 18
1391 3.29575  1269.52 18
1392 2.91772  1263.08 18
1393 2.91014  1243.21 18
1394 -3.23684  1240.23 18
1395 3.6099  1220.35 18
1396 2.77914  1192.28 18
1397 2.68436  1191.82 18
1398 -3.45117  1205.57 18
1399 4.83682  1144.34 18
1400 3.90826  1152.37 18
1401 3.20062  1146.51 18
1402 -4.8389  1127.18 18
1403 2.66816  1110.53 18
1404 2.61594  1107.14 18
1405 -2.25574  1104.85 18
1406 2.78098  1095.75 18
1407 3.41078  1089.3 18
1408 -3.04603  1094.59 18
1409 -2.57295  1081.49 18
1410 -2.65411  1070.38 18
1411 -3.36148  1066.38 18
1412 2.71084  1057.07 18
1413 3.72917  1048.92 18
1414 -3.74186  1058.09 18
1415 -3.32318  1087.62 18
1416 -3.43429  1090.97 18
1417 -2.50503  1095.42 18
1418 -2.93534  1108.04 18
1419 3.15782  1107.8 18
1420 3.21708  1104.17 18
1421 -3.35455  1087.53 18
1422 2.40246  1102.08 18
1423 -3.32756  1101.86 18
1424 3.12886  1113.4 18
1425 -2.42453  1136.62 18
1426 -2.49346  1135.6 18
1427 -2.81783  1129.94 18
1428 3.48368  1138.08 18
1429 -2.71731  1130.54 18
1430 -3.33751  1124.38 18
1431 3.02427  1121.99 18
1432 -2.24761  1123.02 18
1433 -2.41737  1119.79 18
1434 -2.275  1116.07 18
1435 2.59163  1113.15 18
1436 2.67228  1119.36 18
1437 2.6766  1120.98 18
1438 2.99034  1137.34 18
1439 -2.86641  1111.41 18
1440 2.7599  1110.74 18
1441 -2.96301  1093.78 18
1442 3.13804  1095.44 18
1443 -2.6018  1084.99 18
1444 -3.99144  1081.65 18
1445 3.25096  1081.77 18
1446 3.44945  1079.04 18
1447 -3.00841  1080.33 18
1448 -3.64416  1070.7 18
1449 3.33933  1064.57 18
1450 3.6189  1066.76 18
1451 2.94076  1074.29 18
1452 -4.08405  1063.18 18
1453 -2.85505  1093.42 18
1454 -3.20861  1099.92 18
1455 4.0042  1087.88 18
1456 -3.05204  1097.83 18
1457 -3.16217  1115.83 18
1458 3.80371  1114.35 18
1459 2.84292  1090.99 18
1460 -3.07848  1084.26 18
1461 3.11331  1075.22 18
1462 -2.65432  1085.34 18
1463 -2.62293  1082.01 18
1464 -2.36161  1081.09 18
1465 2.55234  1080.75 18
1466 -3.30763  1088.93 18
1467 3.44715  1079.83 18
1468 -3.68345  1091.27 18
1469 2.6981  1093.78 18
1470 2.95897  1104.36 18
1471 -2.9261  1102.36 18
1472 2.35591  1109.25 18
1473 2.21207  1117.06 18
1474 -3.8973  1131.05 18
1475 -3.26889  1136.59 18
1476 -2.40375  1118.71 18
1477 2.96861  1143.85 18
1478 3.12554  1128.07 18
1479 3.00401  1115.64 18
1480 3.51314  1111.99 18
1481 -2.62402  1116.51 18
1482 -3.60353  1095.97 18
1483 3.69898  1086.16 18
1484 -2.94169  1088.66 18
1485 2.52518  1083.53 18
1486 -2.89736  1058.38 18
1487 3.64388  1047.13 18
1488 -2.7915  1037.12 18
1489 -2.2818  1037.87 18
1490 -3.00231  1034.01 18
1491 2.8485  1030.78 18
1492 -2.73308  1033.59 18
1493 2.28237  1048.42 18
1494 -2.77639  1036.94 18
1495 2.50854  1039.2 18
1496 3.08167  1042.8 18
1497 -3.67073  1029.08 18
1498 -3.07147  1030.74 18
1499 3.60412  1023.7 18
1500 2.57923  1063.1 18
1501 -3.45266  1057.08 18
1502 -2.98921  1074.16 18
1503 -3.24336  1103.54 18
1504 2.80591  1125.03 18
1505 3.40999  1130.8 18
1506 2.70805  1146.36 18
1507 -2.90636  1145 18
1508 2.61686  1148.74 18
1509 2.62833  1158.27 18
1510 3.19483  1158.49 18
1511 -2.89111  1152.81 18
1512 2.13117  1156.1 18
1513 3.10462  1151.08 18
1514 -2.90901  1129.61 18
1515 -2.51323  1137.59 18
1516 2.89483  1131.89 18
1517 2.69378  1141.81 18
1518 2.68907  1142.46 18
1519 -3.45557  1143.45 18
1520 2.29151  1168.35 18
1521 2.98364  1162.41 18
1522 2.64066  1172.82 18
1523 -2.95572  1164.88 18
1524 3.12413  1171.59 18
1525 -3.59972  1168.12 18
1526 3.23338  1173.45 18
1527 -3.30128  1173.89 18
1528 3.48617  1180.44 18
1529 -3.26326  1183.78 18
1530 -4.41433  1166.19 18
1531 -3.38933  1161.85 18
1532 4.12234  1156.24 18
1533 5.3992  1144.55 18
1534 -5.21867  1148.22 18
1535 3.0017  1140.8 18
1536 3.60962  1142.81 18
1537 2.93575  1162.2 18
1538 3.17032  1136.94 18
1539 3.15118  1143.62 18
1540 -3.54255  1143.03 18
1541 -2.44917  1149.72 18
1542 -3.21586  1154.23 18
1543 3.34096  1154.04 18
1544 -2.71499  1150.19 18
1545 3.06822  1144.32 18
1546 -2.93174  1133.53 18
1547 -3.1531  1135.79 18
1548 3.50429  1132.92 18
1549 3.58634  1130.4 18
1550 2.93723  1132.04 18
1551 -3.91787  1117.98 18
1552 -3.24696  1128.74 18
1553 -2.75901  1127.1 18
1554 3.50623  1116.76 18
1555 2.55843  1111.86 18
1556 -2.39935  1124 18
1557 -2.61952  1107.31 18
1558 2.77434  1101 18
1559 -3.08417  1093 18
1560 -2.49697  1099.47 18
1561 2.55698  1097.46 18
1562 2.60906  1112.43 18
1563 -3.90495  1099.93 18
1564 3.82438  1021.25 18
1565 3.2838  1023.81 18
1566 -3.92325  1010.05 18
1567 3.37417  1000.18 18
1568 2.94721  1004.94 18
1569 -2.98677  1001.47 18
1570 3.27184  1005.51 18
1571 3.69096  998.555 18
1572 3.27503  1006.88 18
1573 -3.0936  1015.45 18
1574 -2.70092  1012.22 18
1575 -2.91232  1009.24 18
1576 3.00691  1006.43 18
1577 -2.33127  1013.34 18
1578 3.15668  1003.1 18
1579 2.53135  992.249 18
1580 -2.83003  989.227 18
1581 -2.87575  984.375 18
1582 3.05128  985.89 18
1583 2.57866  1000.73 18
1584 -2.67913  1010.05 18
1585 2.89477  1000.6 18
1586 2.41259  1014.54 18
1587 3.29857  1013.99 18
1588 -4.21571  1000.5 18
1589 2.72006  1017.01 18
1590 3.056  1005.25 18
1591 -4.01424  996.334 18
1592 4.87277  994.38 18
1593 -4.3469  997.477 18
1594 -2.96908  1001.96 18
1595 -3.17726  990.731 18
1596 3.15235  994.12 18
1597 -3.56866  979.336 18
1598 3.1988  984.972 18
1599 -2.50208  983.323 18
1600 -3.26259  968.652 18
1601 3.25947  955.44 18
1602 2.89911  971.135 18
1603 -3.02018  962.286 18
1604 3.26795  961.686 18
1605 2.50255  969.553 18
1606 -3.75818  973.099 18
1607 -3.6201  996.132 18
1608 -2.42506  995.089 18
1609 2.4037  1003.53 18
1610 2.8547  1017.55 18
1611 -2.85149  1019.92 18
1612 -3.2655  1017.09 18
1613 3.06669  1013.92 18
1614 -3.24811  1011.52 18
1615 2.66591  1021.96 18
1616 3.9311  1018.73 18
1617 2.89518  1006.66 18
1618 -3.32617  1007.03 18
1619 -3.51285  989.808 18
1620 3.69319  991.431 18
1621 -3.49866  992.584 18
1622 -2.2068  994.136 18
1623 -2.64248  970.897 18
1624 -2.47182  962.228 18
1625 2.3551  964.556 18
1626 -2.78322  965.62 18
1627 2.98112  960.63 18
1628 -3.06603  961.479 18
1629 -2.68233  957.199 18
1630 -2.29738  950.371 18
1631 2.75188  933.496 18
1632 -3.74242  938.854 18
1633 2.63862  947.744 18
1634 2.97263  942.588 18
1635 -2.91134  945.636 18
1636 -2.36779  954.049 18
1637 3.88488  939.592 18
1638 -2.84919  955.66 18
1639 -3.17419  953.006 18
1640 -3.15407  946.876 18
1641 3.67715  945.361 18
1642 -2.56087  949.691 18
1643 -2.91861  952.045 18
1644 -3.22537  933.83 18
1645 -2.28803  926.586 18
1646 3.48125  931.779 18
1647 2.8088  924.384 18
1648 -2.691  921.92 18
1649 2.60461  916.634 18
1650 2.35003  912.568 18
1651 2.89089  899.929 18
1652 2.61384  913.968 18
1653 3.09918  898.911 18
1654 2.461  903.923 18
1655 2.31861  917.035 18
1656 2.24712  918.927 18
1657 -2.33229  926.92 18
1658 -2.43361  931.372 18
1659 -2.79131  915.407 18
1660 2.11759  921.9 18
1661 -2.68111  918.431 18
1662 2.47316  929.785 18
1663 2.637  918.537 18
1664 -2.78722  911.204 18
1665 2.41668  912.874 18
1666 -3.17799  917.49 18
1667 -3.13077  900.399 18
1668 4.23835  891.835 18
1669 3.72007  897.401 18
1670 -3.22952  892.018 18
1671 4.58054  875.153 18
1672 -4.13337  883.203 18
1673 -3.59646  886.978 18
1674 3.91592  886.351 18
1675 2.93789  891.489 18
1676 -2.17834  898.253 18
1677 -2.9511  900.771 18
1678 3.01929  908.763 18
1679 2.94486  908.216 18
1680 -3.45376  903.985 18
1681 3.19183  904.612 18
1682 -3.6625  899.236 18
1683 -3.28409  898.019 18
1684 3.62225  899.927 18
1685 3.82654  890.353 18
1686 -3.39868  893.93 18
1687 -3.6316  888.111 18
1688 -2.41732  905.636 18
1689 2.53803  900.409 18
1690 -2.73409  907.046 18
1691 -2.62128  907.143 18
1692 2.34325  910.847 18
1693 -2.91942  905.052 18
1694 2.78449  911.581 18
1695 -2.27706  916.745 18
1696 -2.58609  908.217 18
1697 -3.86513  899.064 18
1698 3.74848  901.506 18
1699 3.18487  898.613 18
1700 -3.46552  911.226 18
1701 -3.51436  912.263 18
1702 -2.88131  901.394 18
1703 -2.74686  887.216 18
1704 -3.13265  883.176 18
1705 -2.87794  900.018 18
1706 3.39258  908.732 18
1707 -4.46021  893.252 18
1708 -2.65359  918.204 18
1709 3.46096  929.366 18
1710 -2.10356  943.403 18
1711 2.31406  957.47 18
1712 -3.19641  970.094 18
1713 2.40051  967.08 18
1714 -2.09123  968.361 18
1715 -2.45325  971.105 18
1716 -3.17509  963.387 18
1717 2.40708  969.459 18
1718 -2.60058  964.898 18
1719 -2.1344  967.009 18
1720 -3.57749  967.62 18
1721 3.48105  968.972 18
1722 2.89455  978.811 18
1723 2.46112  977.35 18
1724 -3.49288  977.521 18
1725 3.17946  978.089 18
1726 2.58293  975.856 18
1727 -3.91107  959.583 18
1728 -2.80701  974.566 18
1729 -3.1371  960.523 18
1730 -2.68289  966.832 18
1731 3.91728  952.448 18
1732 -2.77255  954.03 18
1733 2.58219  954.597 18
1734 -2.84173  954.322 18
1735 2.33217  973.732 18
1736 -2.80426  981.235 18
1737 3.12208  969.038 18
1738 -3.69236  950.026 18
1739 -2.70868  962.741 18
1740 -3.06236  963.512 18
1741 3.92772  961.642 18
1742 3.68911  961.789 18
1743 3.17627  974.438 18
1744 -3.08766  979.049 18
1745 3.1545  976.784 18
1746 -3.98407  979.252 18
1747 3.77398  975.448 18
1748 -3.20711  988.46 18
1749 3.08727  987.67 18
1750 2.41083  987.548 18
1751 -3.32936  1033.11 18
1752 -2.71237  1035.72 18
1753 2.91528  1031.13 18
1754 -2.46956  1034.3 18
1755 -2.6948  1040.08 18
1756 -2.33741  1040.11 18
1757 2.78388  1042.49 18
1758 -2.52123  1043.96 18
1759 -2.56903  1043.44 18
1760 2.84981  1041.28 18
1761 2.05904  1044.96 18
1762 -2.31878  1042.8 18
1763 2.52158  1041.55 18
1764 -2.97573  1045.67 18
1765 3.41033  1053.19 18
1766 -3.35362  1038 18
1767 -3.25346  1038.54 18
1768 -2.91955  1046.82 18
1769 2.91734  1041.59 18
1770 -2.80044  1026.8 18
1771 -3.16358  1019.13 18
1772 3.43591  983.679 18
1773 3.20032  968.087 18
1774 -4.0028  964.235 18
1775 3.42732  976.926 18
1776 3.04653  971.105 18
1777 -3.12654  964.695 18
1778 2.9308  962.109 18
1779 2.90373  968.973 18
1780 -3.25749  966.889 18
1781 -2.98061  978.579 18
1782 3.56062  989.544 18
1783 3.19493  992.072 18
1784 -3.24449  1005.63 18
1785 2.98781  1007.4 18
1786 -4.04158  1021.92 18
1787 3.16778  1041.04 18
1788 -2.34398  1047.48 18
1789 3.09671  1044.76 18
1790 3.64202  1043.28 18
1791 -4.24256  1040.46 18
1792 3.21316  1050.04 18
1793 2.50663  1055.12 18
1794 3.02089  1053.34 18
1795 3.00918  1071.07 18
1796 2.39384  1054.65 18
1797 2.45793  1060.62 18
1798 2.47837  1066.3 18
1799 -2.50561  1064.26 18
1800 -3.42411  1050.71 18
1801 -2.693  1045.14 18
1802 -2.5716  1041.1 18
1803 -2.42557  1040.93 18
1804 2.47762  1046.42 18
1805 3.2005  1039.16 18
1806 2.86278  1037.2 18
1807 -2.75271  1040.81 18
1808 -3.01138  1037.41 18
1809 2.87221  1033.93 18
1810 -3.56311  1033.08 18
1811 -3.44666  1022.47 18
1812 3.25444  975.047 18
1813 -3.57263  975.999 18
1814 -3.0116  973.348 18
1815 3.19103  969.355 18
1816 3.47219  955.583 18
1817 -2.88108  956.248 18
1818 3.37978  948.784 18
1819 3.1781  942.718 18
1820 -3.5831  942.278 18
1821 -3.06912  946.542 18
1822 -2.42009  934.038 18
1823 -2.44844  926.709 18
1824 2.75037  918.678 18
1825 3.60754  927.796 18
1826 -3.22702  919.379 18
1827 3.04473  921.08 18
1828 -3.28698  916.994 18
1829 -2.49073  916.096 18
1830 -2.49708  921.657 18
1831 -2.19959  934.324 18
1832 -2.35758  938.428 18
1833 2.98191  950.67 18
1834 -2.41718  953.516 18
1835 -3.00432  956.664 18
1836 -2.36263  951.216 18
1837 -3.57405  932.048 18
1838 2.46877  942.63 18
1839 -2.44122  950.363 18
1840 2.61523  953.177 18
1841 2.31614  950.895 18
1842 -2.08876  937.894 18
1843 3.11701  919.351 18
1844 -2.65807  928.477 18
1845 -3.23141  914.393 18
1846 -2.48254  922.79 18
1847 2.84522  904.571 18
1848 2.83726  893.213 18
1849 3.28755  886.199 18
1850 2.31531  920.196 18
1851 2.68167  918.229 18
1852 -3.11905  919.292 18
1853 -2.62716  942.969 18
1854 2.72392  944.189 18
1855 2.52425  929.207 18
1856 2.78194  926.39 18
1857 -2.49008  928.747 18
1858 3.01982  917.921 18
1859 -2.72875  937.123 18
1860 3.25494  965.096 18
1861 3.65848  984.118 18
1862 3.65904  993.916 18
1863 -3.80362  1001.57 18
1864 3.18634  1004.97 18
1865 -3.80131  1020.36 18
1866 2.74344  1043.11 18
1867 3.13206  1058.29 18
1868 -2.78502  1065.46 18
1869 3.18617  1070.94 18
1870 3.69708  1076.94 18
1871 -3.36069  1073.22 18
1872 3.3121  1077.89 18
1873 -3.49022  1089.89 18
1874 3.21093  1092.96 18
1875 3.51264  1082.39 18
1876 -3.06896  1086.63 18
1877 2.82994  1093.27 18
1878 -2.68142  1097.13 18
1879 -2.7238  1098.41 18
1880 -3.38414  1098.04 18
1881 2.51908  1091.55 18
1882 3.02674  1099.07 18
1883 4.00985  1091.38 18
1884 -2.75519  1104.97 18
1885 -2.65149  1104.66 18
1886 -2.13089  1111.13 18
1887 2.43903  1122.56 18
1888 -3.36857  1109.66 18
1889 3.5132  1118.2 18
1890 -3.46439  1118.76 18
1891 -2.7723  1125.82 18
1892 -3.60467  1130.43 18
1893 2.96608  1135.98 18
1894 2.83114  1138.13 18
1895 -2.82686  1148.58 18
1896 3.60876  1130.46 18
1897 -3.59235  1143.51 18
1898 3.03254  1153.14 18
1899 3.02787  1143.71 18
1900 -2.45981  1138.04 18
1901 2.76767  1128.53 18
1902 2.74188  1130.09 18
1903 -2.63138  1147.12 18
1904 3.53813  1268.98 18
1905 -2.48388  1329.18 18
1906 3.16132  1319.72 18
1907 2.58874  1303.16 18
1908 2.41331  1297.09 18
1909 -3.00964  1305.63 18
1910 -2.81407  1327.07 18
1911 2.37424  1333.03 18
1912 2.82698  1342.21 18
1913 -3.11148  1337.41 18
1914 -2.87773  1318.96 18
1915 -2.67789  1325.66 18
1916 -2.145  1341.79 18
1917 2.77777  1342.9 18
1918 2.23523  1353.1 18
1919 2.1861  1346.34 18
1920 2.59262  1333.66 18
1921 -3.32876  1305.72 18
1922 4.03561  1288.23 18
1923 -3.45332  1298.69 18
1924 2.83407  1298.49 18
1925 2.75336  1305.81 18
1926 -2.60811  1270.9 18
1927 2.69533  1251.46 18
1928 2.41321  1239.8 18
1929 -2.5122  1234.85 18
1930 2.73487  1244.41 18
1931 2.89361  1246.08 18
1932 2.81886  1273.57 18
1933 -3.08406  1276.2 18
1934 -4.79523  1253.29 18
1935 5.55358  1243.6 18
1936 2.88643  1271.53 18
1937 -3.43701  1277.72 18
1938 -3.69443  1281.42 18
1939 3.95779  1279.78 18
1940 -3.32081  1286.69 18
1941 4.70196  1271.76 18
1942 3.0412  1288.25 18
1943 3.11794  1289.36 18
1944 -3.42899  1282.96 18
1945 -4.35498  1294.92 18
1946 2.96806  1307.43 18
1947 -2.99562  1286.4 18
1948 3.47124  1276.53 18
1949 3.03055  1297.18 18
1950 -3.34287  1288.7 18
1951 3.3714  1293.59 18
1952 2.64581  1281.54 18
1953 -2.8942  1269.33 18
1954 -2.87015  1271.72 18
1955 4.02426  1263.25 18
1956 -2.73326  1265.28 18
1957 -3.26031  1275.64 18
1958 -3.8545  1271.37 18
1959 -3.20593  1276.21 18
1960 3.60182  1284.55 18
1961 3.96002  1300.25 18
1962 -3.55316  1305.35 18
1963 -3.47  1307.32 18
1964 3.29298  1286.97 18
1965 -2.62726  1157.97 18
1966 -2.59533  1112.1 18
1967 -2.67739  1117.26 18
1968 2.84579  1116.83 18
1969 3.14985  1120.53 18
1970 3.06571  1100.58 18
1971 2.62911  1097.3 18
1972 -3.15078  1084.81 18
1973 3.22219  1084.75 18
