406 2.50887  1044.06 20
407 -2.34496  1057.26 20
408 2.82984  1049.07 20
409 -2.68498  1072.17 20
410 2.45307  1075.55 20
411 -2.15981  1076.93 20
412 2.38078  1082.87 20
413 2.58961  1076.72 20
414 -2.07691  1085.29 20
415 2.9886  1071.67 20
416 -2.03677  1084.59 20
417 2.73678  1097.11 20
418 -2.75211  1089.06 20
419 -2.48335  1092.6 20
420 2.4683  1091.28 20
421 -2.67719  1079.15 20
422 -2.3721  1072.91 20
423 2.68001  1065.35 20
424 -3.08373  1066.85 20
425 3.14295  1059.28 20
426 -2.45411  1060.36 20
427 -2.28476  1067.05 20
428 -2.23553  1073.57 20
429 -2.87371  1068.24 20
430 -2.74395  1059.5 20
431 2.84405  1053.88 20
432 -2.37803  1070.39 20
433 3.02948  1084.81 20
434 3.18216  1071.42 20
435 -2.58777  1073.97 20
436 -2.71117  1074.19 20
437 -3.00851  1081.73 20
438 2.45186  1083.2 20
439 -3.1583  1071.95 20
440 3.10388  1067.66 20
441 -3.33824  1075.68 20
442 2.88327  1075.94 20
443 3.37704  1084.53 20
444 3.03784  1088.08 20
445 2.69594  1079.39 20
446 -2.40212  1092.77 20
447 2.50744  1109.8 20
448 -3.12114  1109.96 20
449 3.48074  1103.84 20
450 -3.78528  1103.14 20
451 -3.2197  1092.57 20
452 2.613  1098.66 20
453 3.20871  1085.59 20
454 2.97144  1081.11 20
455 -2.71216  1079.73 20
456 -2.68185  1091.04 20
457 -2.89749  1100.02 20
458 -3.1789  1112.53 20
459 3.56752  1108.62 20
460 2.67511  1148.82 20
461 2.63893  1137.34 20
462 -2.93527  1156.58 20
463 3.49362  1153.18 20
464 3.01251  1155.02 20
465 -3.75724  1201.92 20
466 2.65318  1216.77 20
467 2.9887  1226.13 20
468 3.44885  1228.98 20
469 -3.08306  1249.58 20
470 -2.40473  1222.59 20
471 2.92243  1236.47 20
472 -3.14568  1231.72 20
473 -3.43531  1229.53 20
474 -2.37349  1238.66 20
475 2.53744  1242.26 20
476 -2.61147  1252.37 20
477 4.13641  1240.6 20
478 -2.73414  1273.86 20
479 2.69705  1282.76 20
480 -2.33646  1304.91 20
481 -2.67453  1288.68 20
482 -2.35342  1297.24 20
483 1.93763  1296.28 20
484 -2.85527  1295.45 20
485 2.26483  1297.75 20
486 2.85482  1300.03 20
487 -2.40627  1316.6 20
488 -3.10271  1317.56 20
489 2.94923  1317.01 20
490 -2.853  1319.62 20
491 2.78473  1317.47 20
492 -2.41364  1332.77 20
493 -3.5887  1318.52 20
494 3.67927  1302.42 20
495 3.10346  1302.78 20
496 2.57791  1307.38 20
497 3.30825  1313.71 20
498 2.90191  1324.71 20
499 -3.28168  1324.44 20
500 3.90599  1324.39 20
501 2.62161  1336.05 20
502 2.55019  1335.57 20
503 -3.13814  1336.21 20
504 2.66606  1371.17 20
505 -2.64278  1375.87 20
506 4.02177  1394.46 20
507 -2.73943  1439.53 20
508 2.98768  1438.48 20
509 -3.41135  1432.25 20
510 -3.46358  1434.02 20
511 2.72114  1459.77 20
512 2.96713  1448.31 20
513 2.68921  1452.72 20
514 2.79925  1458.25 20
515 -2.93576  1478.94 20
516 -2.32155  1488.89 20
517 3.05442  1501.27 20
518 2.40448  1516.22 20
519 3.32177  1509.8 20
520 4.03912  1514.83 20
521 -2.58163  1497.15 20
522 -2.80438  1512.13 20
523 2.9769  1491.95 20
524 2.63626  1492.61 20
525 -3.37248  1475.25 20
526 -2.54125  1450.15 20
527 -2.47955  1459.69 20
528 3.98533  1419.52 20
529 -2.69589  1415.56 20
530 -3.09447  1384.57 20
531 2.96927  1390.73 20
532 -3.66779  1364.19 20
533 -3.34603  1357.41 20
534 -3.50186  1346.67 20
535 4.07843  1339.19 20
536 -4.25225  1330.93 20
537 4.55354  1305.57 20
538 2.983  1328.22 20
539 -2.95196  1301.88 20
